date,usages.x,usages.y,usage,daynight
2020-12-19T23:00:00Z,94,0,94,0
2020-12-20T00:00:00Z,86,0,86,0
2020-12-20T01:00:00Z,326,0,326,0
2020-12-20T02:00:00Z,494,0,494,0
2020-12-20T03:00:00Z,347,0,347,0
2020-12-20T04:00:00Z,2530,0,2530,0
2020-12-20T05:00:00Z,1758,0,1758,0
2020-12-20T06:00:00Z,1971,0,1971,1
2020-12-20T07:00:00Z,663,0,663,1
2020-12-20T08:00:00Z,1260,0,1260,1
2020-12-20T09:00:00Z,2582,0,2582,1
2020-12-20T10:00:00Z,447,0,447,1
2020-12-20T11:00:00Z,948,0,948,1
